"Catégories","Réalisée","Partiellement réalisée","En voie de réalisation","En suspens","Rompue"
"Affaires internationales et défense",7,1,0,0,16
"Arts et culture",0,2,0,0,7
"Économie et employabilité",5,18,0,0,26
"Éducation et recherche",4,5,0,0,4
"Environnement",15,12,0,0,20
"Familles",2,10,0,0,16
"Gouvernement et démocratie",5,3,0,0,13
"Identité et nationalisme",0,0,0,0,3
"Loi et ordre",7,8,0,0,20
"Minorités",16,22,0,0,9
"Régions et agriculture",12,4,0,0,6
"Santé et services sociaux",6,14,0,0,25
